nome;kcal;proteine;carboidrati;grassi
"Cicoria, da taglio, coltivata, cruda";14;1,2;1,7;0,1
"Cicoria, di campo, cotta, bollita";17;1,4;0,7;0,2
"Cicoria, di campo, cruda";17;1,4;0,7;0,2
"Cicoria, witloof o indivia belga, cruda";20;0,7;3,2;0,3
"Ciliege, candite";252;0,4;66,4;tr
"Ciliege, fresche";48;0,8;11;0,1
"Cioccolato, al latte";552;7,3;50,5;36,3
"Cioccolato, al latte con nocciole";553;7,2;48,6;36,9
"Cioccolato, fondente";531;6,6;49,7;33,6
"Cipolle, cotte, bollite";39;1,4;7,8;0,1
"Cipolle, crude";28;1;5,7;0,1
"Cipolline, cotte, bollite";53;1,7;10,9;0,1
"Cipolline, crude";42;1,3;8,5;0,1
"Clementine, fresche";40;0,9;8,7;0,1
"Cocco, essiccato";669;5,6;16,4;62
"Cocco, fresco";358;3,5;4,4;35
Cocktail di frutta sciroppata;59;0,4;14,8;tr
"Cocomero, fresco";16;0,4;3,7;tr
"Coniglio intero, crudo";118;19,9;;4,3
"Coniglio, coscio, crudo";137;21;;5,9
"Coniglio, intero surgelato, crudo";116;20,3;;3,9
"Coniglio, intero, cotto";166;27,9;;6
Coppa;400;28,9;tr;31,6
Coratella di agnello;109;15,7;1;4,7
Coratella di vitello;100;17,1;0,8;3,2
Coregone;135;19;0,1;6,5
Corn flakes;367;6,6;87,4;0,8
Cornetti;403;7,2;54,7;18,3
Corvina;88;20;0,2;0,8
"Cotechino Modena IGP, cotto";253;23,6;3,2;16,3
"Cotechino, confezionato precotto";449;17,2;;42,3
"Couscous, cotto";179;3,6;39,7;1,1
"Couscous, crudo";361;13,7;76,5;1,1
Cozza o mitilo;84;11,7;3,4;2,7
"Crackers, al formaggio";498;10,1;59,2;25,5
"Crackers, alla soia";421;13,1;67,7;11,7
"Crackers, integrali";402;12;61,7;11,4
"Crackers, salati";386;9,4;67,5;10
"Crema di latte, 12% di lipidi";140;2,8;4,4;12,5
Crema di nocciole e cacao;537;6,9;58,1;32,4
Crescenza;281;16,1;1,9;23,3
Croissants;362;8,3;38;20,3
"Crostata, con crema al cacao, industriale";492;4,6;67;24,7
"Crostata, con marmellata di albicocche, industriale";421;0,9;71,7;16,5
"Crostata, con marmellata, industriale";339;4,9;65,5;8,2
Crusca di frumento;290;14,1;26,6;5,5
Cuore di bovino;123;16,8;0,5;6
"Cuore di bovino, cotto";189;25,8;0,8;9,2
Cuore di equino;146;18,7;0,6;7,7
Cuore di ovino;134;16,9;0,4;7,2
Cuore di pollo;103;14,1;0,2;5,1
"Cuore di pollo, cotto";147;20,1;0,3;7,3
Cuore di suino;159;18,3;0,4;9,4
Cuore di tacchino;103;14,1;0,2;5,1
"Cuore di tacchino, cotto";147;20,1;0,3;7,3
Dadi da brodo;250;15,7;5;18,7
"Daino, solo tessuto muscolare, crudo";95;21;;1,2
"Datteri, secchi";270;2,7;63,1;0,6
Dentice;101;16,7;0,7;3,5
